name,institute,profile_picture_url,author_page_url
"Aagya Dhungana","Kathmandu University, Nepal",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/headshot-AAGYA-DHUNGANA-uai-640x800.jpeg,https://urfieldlab.com/UR2024/author/aagya.dhungana
Mohammad Atiqur Rahman,"University of Chittagong, Bangladesh",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Photo_MAR_BD-Prof.-Dr.-Md.-Atiqur-Rahman-uai-450x562.jpg,https://urfieldlab.com/UR2024/author/mohammad.atiqur.rahman
"Abdul Waheed","National Disaster Risk Management Fund, Pakistan",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Pic-Abdul-Waheed-uai-400x500.jpg,https://urfieldlab.com/UR2024/author/abdul.waheed
"Abhay Vir Singh Kanwar","Tata Institute of Social Sciences Mumbai, India",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/abhay-vir-singh-kanwar-passport-size-photo-abhay-kanwar-uai-438x547.jpg,https://urfieldlab.com/UR2024/author/abhay.vir.singh.kanwar
Bishwabandhu Acharya,"Institute of Forestry, Nepal",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/2021_12_20_11_00_IMG_3411-Bishwabandhu-Acharya-scaled-uai-825x1032.jpg,https://urfieldlab.com/UR2024/author/bishwabandhu.acharya
Buddhi Raj Joshi,"Pokhara University, Nepal",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/DSC_6701_Buddhi-Raj-Joshi-1-Buddhi-Raj-Joshi-uai-413x516.jpg,https://urfieldlab.com/UR2024/author/buddhi.raj.joshi
Robert Soden,University of Toronto,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Robert-Soden-uai-312x391.jpg,Author page link not found
Medhavi Gulati,Panjab University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/25-Medhavi-Gulati-uai-694x868.webp,https://urfieldlab.com/UR2024/author/medhavi.gulati
Jungsuh Lim (Sue),None,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/9802622a-39b3-4c56-ad6b-24b60ac826d8-Sue-Lim-uai-488x610.jpg,https://urfieldlab.com/UR2024/author/jungsuh.lim.sue
"Md Masum Billah",The Business Standard,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/IMG_0114-removebg-preview-1-Masum-Billah-uai-373x467.jpg,https://urfieldlab.com/UR2024/author/md.masum.billah
Pamela Das,University of Oslo/Stockholm Environment Institute,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/headshot-Pamela-Das-uai-651x813.webp,https://urfieldlab.com/UR2024/author/pamela.das
"Shree Saha",Cornell University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Current-Photo-Shree-Saha-uai-511x639.webp,https://urfieldlab.com/UR2024/author/shree.saha
Sabine Loos,University of Michigan,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/sabione-loos-portrait-2-uai-280x350.jpg,Author page link not found
Ojaswee Amgain,"Kathmandu Forestry College, IOF, TU",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/OJU_headshot-Ojaswee-Amgain-uai-620x775.webp,https://urfieldlab.com/UR2024/author/ojaswee.amgain
"Nabin Kalauni","Center for Water Resource Studies (CWRS), Institute of Engineering (IOE), Tribhuvan University (TU)",https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Nabin_Kalauni_Image-NABIN-KALAUNI-uai-694x868.webp,https://urfieldlab.com/UR2024/author/nabin.kalauni
"Rashi Lohaan",Skymet Weather Services Pvt. Ltd.,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/headshot-RashiLohaan-Rashi-Lohaan-uai-512x640.webp,https://urfieldlab.com/UR2024/author/rashi.lohaan
Rajendra Sharma,Social Science Baha; Peace Education Network- Nepal (PENN),https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Headshot_2024-Rajendra-sharma-uai-651x813.webp,https://urfieldlab.com/UR2024/author/rajendra.sharma
"Rajan KC",Geoinfra Research Institute,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/profile-pic-2-Rajan-KC-uai-480x600.png,https://urfieldlab.com/UR2024/author/rajan.kc
Rachael Lau,Duke University,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/Rachael-Lau-Headshot-Rachael-Lau-uai-694x868.webp,https://urfieldlab.com/UR2024/author/rachael.lau
Austin Lord,University of Toronto,https://urfieldlab.com/UR2024/wp-content/uploads/2024/05/img_4975_720-e1715491736614-uai-470x588.jpg,Author page link not found
